,name,price 
0,Abominable Hoodie,$69.00
1,Adrienne Trek Jacket,$57.00
2,Aeon Capri,$48.00
3,Aero Daily Fitness Tee,$24.00
4,Aether Gym Pant,$74.00
5,Affirm Water Bottle,$7.00
6,Aim Analog Watch,$45.00
7,Ajax Full-Zip Sweatshirt,$69.00
8,Ana Running Short,$40.00
9,Angel Light Running Short,$42.00
10,Antonia Racer Tank,$34.00
11,Apollo Running Short,$32.50
12,Arcadio Gym Short,$20.00
13,Argus All-Weather Tank,$22.00
14,Ariel Roll Sleeve Sweatshirt,$39.00
15,Artemis Running Short,$45.00
16,Abominable Hoodie,$69.00
17,Adrienne Trek Jacket,$57.00
18,Aeon Capri,$48.00
19,Aero Daily Fitness Tee,$24.00
20,Aether Gym Pant,$74.00
21,Affirm Water Bottle,$7.00
22,Aim Analog Watch,$45.00
23,Ajax Full-Zip Sweatshirt,$69.00
24,Ana Running Short,$40.00
25,Angel Light Running Short,$42.00
26,Antonia Racer Tank,$34.00
27,Apollo Running Short,$32.50
28,Arcadio Gym Short,$20.00
29,Argus All-Weather Tank,$22.00
30,Ariel Roll Sleeve Sweatshirt,$39.00
31,Artemis Running Short,$45.00
32,Abominable Hoodie,$69.00
33,Adrienne Trek Jacket,$57.00
34,Aeon Capri,$48.00
35,Aero Daily Fitness Tee,$24.00
36,Aether Gym Pant,$74.00
37,Affirm Water Bottle,$7.00
38,Aim Analog Watch,$45.00
39,Ajax Full-Zip Sweatshirt,$69.00
40,Ana Running Short,$40.00
41,Angel Light Running Short,$42.00
42,Antonia Racer Tank,$34.00
43,Apollo Running Short,$32.50
44,Arcadio Gym Short,$20.00
45,Argus All-Weather Tank,$22.00
46,Ariel Roll Sleeve Sweatshirt,$39.00
47,Artemis Running Short,$45.00
48,Abominable Hoodie,$69.00
49,Adrienne Trek Jacket,$57.00
50,Aeon Capri,$48.00
51,Aero Daily Fitness Tee,$24.00
52,Aether Gym Pant,$74.00
53,Affirm Water Bottle,$7.00
54,Aim Analog Watch,$45.00
55,Ajax Full-Zip Sweatshirt,$69.00
56,Ana Running Short,$40.00
57,Angel Light Running Short,$42.00
58,Antonia Racer Tank,$34.00
59,Apollo Running Short,$32.50
60,Arcadio Gym Short,$20.00
61,Argus All-Weather Tank,$22.00
62,Ariel Roll Sleeve Sweatshirt,$39.00
63,Artemis Running Short,$45.00
64,Abominable Hoodie,$69.00
65,Adrienne Trek Jacket,$57.00
66,Aeon Capri,$48.00
67,Aero Daily Fitness Tee,$24.00
68,Aether Gym Pant,$74.00
69,Affirm Water Bottle,$7.00
70,Aim Analog Watch,$45.00
71,Ajax Full-Zip Sweatshirt,$69.00
72,Ana Running Short,$40.00
73,Angel Light Running Short,$42.00
74,Antonia Racer Tank,$34.00
75,Apollo Running Short,$32.50
76,Arcadio Gym Short,$20.00
77,Argus All-Weather Tank,$22.00
78,Ariel Roll Sleeve Sweatshirt,$39.00
79,Artemis Running Short,$45.00
80,Abominable Hoodie,$69.00
81,Adrienne Trek Jacket,$57.00
82,Aeon Capri,$48.00
83,Aero Daily Fitness Tee,$24.00
84,Aether Gym Pant,$74.00
85,Affirm Water Bottle,$7.00
86,Aim Analog Watch,$45.00
87,Ajax Full-Zip Sweatshirt,$69.00
88,Ana Running Short,$40.00
89,Angel Light Running Short,$42.00
90,Antonia Racer Tank,$34.00
91,Apollo Running Short,$32.50
92,Arcadio Gym Short,$20.00
93,Argus All-Weather Tank,$22.00
94,Ariel Roll Sleeve Sweatshirt,$39.00
95,Artemis Running Short,$45.00
96,Abominable Hoodie,$69.00
97,Adrienne Trek Jacket,$57.00
98,Aeon Capri,$48.00
99,Aero Daily Fitness Tee,$24.00
100,Aether Gym Pant,$74.00
101,Affirm Water Bottle,$7.00
102,Aim Analog Watch,$45.00
103,Ajax Full-Zip Sweatshirt,$69.00
104,Ana Running Short,$40.00
105,Angel Light Running Short,$42.00
106,Antonia Racer Tank,$34.00
107,Apollo Running Short,$32.50
108,Arcadio Gym Short,$20.00
109,Argus All-Weather Tank,$22.00
110,Ariel Roll Sleeve Sweatshirt,$39.00
111,Artemis Running Short,$45.00
112,Abominable Hoodie,$69.00
113,Adrienne Trek Jacket,$57.00
114,Aeon Capri,$48.00
115,Aero Daily Fitness Tee,$24.00
116,Aether Gym Pant,$74.00
117,Affirm Water Bottle,$7.00
118,Aim Analog Watch,$45.00
119,Ajax Full-Zip Sweatshirt,$69.00
120,Ana Running Short,$40.00
121,Angel Light Running Short,$42.00
122,Antonia Racer Tank,$34.00
123,Apollo Running Short,$32.50
124,Arcadio Gym Short,$20.00
125,Argus All-Weather Tank,$22.00
126,Ariel Roll Sleeve Sweatshirt,$39.00
127,Artemis Running Short,$45.00
128,Abominable Hoodie,$69.00
129,Adrienne Trek Jacket,$57.00
130,Aeon Capri,$48.00
131,Aero Daily Fitness Tee,$24.00
132,Aether Gym Pant,$74.00
133,Affirm Water Bottle,$7.00
134,Aim Analog Watch,$45.00
135,Ajax Full-Zip Sweatshirt,$69.00
136,Ana Running Short,$40.00
137,Angel Light Running Short,$42.00
138,Antonia Racer Tank,$34.00
139,Apollo Running Short,$32.50
140,Arcadio Gym Short,$20.00
141,Argus All-Weather Tank,$22.00
142,Ariel Roll Sleeve Sweatshirt,$39.00
143,Artemis Running Short,$45.00
144,Abominable Hoodie,$69.00
145,Adrienne Trek Jacket,$57.00
146,Aeon Capri,$48.00
147,Aero Daily Fitness Tee,$24.00
148,Aether Gym Pant,$74.00
149,Affirm Water Bottle,$7.00
150,Aim Analog Watch,$45.00
151,Ajax Full-Zip Sweatshirt,$69.00
152,Ana Running Short,$40.00
153,Angel Light Running Short,$42.00
154,Antonia Racer Tank,$34.00
155,Apollo Running Short,$32.50
156,Arcadio Gym Short,$20.00
157,Argus All-Weather Tank,$22.00
158,Ariel Roll Sleeve Sweatshirt,$39.00
159,Artemis Running Short,$45.00
160,Abominable Hoodie,$69.00
161,Adrienne Trek Jacket,$57.00
